Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=d2247ae645f7cbae6a8559dc2f34f6c4&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=STS&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn67&legendRef=reference
,TRD.M.I8.N.M.TTT.J8.4.VAL,TRD.M.I8.N.M.TTT.J8.4.VOX,TRD.M.I8.N.X.TTT.J8.4.VAL,TRD.M.I8.N.X.TTT.J8.4.VOX,TRD.M.I8.Y.M.CAP.J8.4.VAL,TRD.M.I8.Y.M.CAP.J8.4.VOX,TRD.M.I8.Y.M.COM.J8.4.VAL,TRD.M.I8.Y.M.COM.J8.4.VOX,TRD.M.I8.Y.M.INT.J8.4.VAL,TRD.M.I8.Y.M.INT.J8.4.VOX,TRD.M.I8.Y.M.MAN.J8.4.VAL,TRD.M.I8.Y.M.MAN.J8.4.VOX,TRD.M.I8.Y.M.OIL.J8.4.VAL,TRD.M.I8.Y.M.OIL.J8.4.VOX,TRD.M.I8.Y.M.TTT.B2.4.VAL,TRD.M.I8.Y.M.TTT.CH.4.VAL,TRD.M.I8.Y.M.TTT.CN.4.VAL,TRD.M.I8.Y.M.TTT.E4.4.VAL,TRD.M.I8.Y.M.TTT.F2.4.VAL,TRD.M.I8.Y.M.TTT.GB.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VOX,TRD.M.I8.Y.M.TTT.JP.4.VAL,TRD.M.I8.Y.M.TTT.K0.4.VAL,TRD.M.I8.Y.M.TTT.RU.4.VAL,TRD.M.I8.Y.M.TTT.TR.4.VAL,TRD.M.I8.Y.M.TTT.US.4.VAL,TRD.M.I8.Y.M.TTT.Z5.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VOX,TRD.M.I8.Y.X.COM.J8.4.VAL,TRD.M.I8.Y.X.COM.J8.4.VOX,TRD.M.I8.Y.X.INT.J8.4.VAL,TRD.M.I8.Y.X.INT.J8.4.VOX,TRD.M.I8.Y.X.MAN.J8.4.VAL,TRD.M.I8.Y.X.MAN.J8.4.VOX,TRD.M.I8.Y.X.TTT.B2.4.VAL,TRD.M.I8.Y.X.TTT.CH.4.VAL,TRD.M.I8.Y.X.TTT.CN.4.VAL,TRD.M.I8.Y.X.TTT.E4.4.VAL,TRD.M.I8.Y.X.TTT.F2.4.VAL,TRD.M.I8.Y.X.TTT.GB.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VOX,TRD.M.I8.Y.X.TTT.JP.4.VAL,TRD.M.I8.Y.X.TTT.K0.4.VAL,TRD.M.I8.Y.X.TTT.RU.4.VAL,TRD.M.I8.Y.X.TTT.TR.4.VAL,TRD.M.I8.Y.X.TTT.US.4.VAL,TRD.M.I8.Y.X.TTT.Z5.4.VAL
2011May,152019814.95,100.50,150186165.50,95.10,19797904.63,99.37,30274954.18,95.54,94246501.40,97.97,90954475.29,96.45,26021315.33,89.91,7217144.49,6701993.71,17962754.69,9704797.81,45365318.49,13416012.32,146482658.83,97.54,3959224.86,26055557.82,12865459.68,2936930.97,11504883.35,10984176.06,29103950.18,94.06,38742596.65,86.93,72526692.95,93.84,115993257.68,90.78,7031882.36,8727610.71,9297537.40,8835423.10,32894819.81,17463917.89,143490608.36,91.62,3118871.68,28292415.36,6962968.04,4733818.22,15886530.87,12997490.34
2011Apr,144692713.74,94.40,140080108.15,88.30,20634403.28,102.22,30455582.47,95.65,95749257.92,98.04,92994133.26,97.84,28869593.02,97.26,7429438.55,6353149.39,18886527.97,9816275.83,48058291.50,13892809.98,149489045.71,98.37,4562842.62,25675647.93,13055886.45,2991993.87,12068135.77,10187969.66,28769034.12,93.19,39632676.52,88.72,73193757.29,94.02,117148668.20,91.48,7087507.29,8800375.76,9130020.84,9331601.67,33130613.30,17249164.55,144877637.22,92.11,3296316.79,28243351.80,6788627.33,4947947.82,16910956.94,12393076.53
2011Mar,158561939.12,103.30,159148846.37,100.50,19261540.67,92.89,31348131.85,96.86,94040890.63,96.89,93284487.67,96.73,27349285.99,94.21,7387108.25,6438886.40,19164548.36,11343230.34,46694121.25,13737762.68,146347257.79,96.11,4725673.98,25823189.48,13028941.83,2998863.10,11553322.77,7272183.18,28405864.72,90.77,38828569.82,86.92,72482923.54,93.49,117379647.56,91.36,6637024.53,9072299.43,9798187.59,9340342.88,33479729.74,18071558.21,143233032.59,91.06,3077148.59,28017843.03,6679854.04,5287066.96,15996822.93,10559145.16
2011Feb,139182498.82,92.50,135991049.92,86.10,19563550.67,95.22,30933160.35,95.69,92421692.73,98.08,92987181.61,96.85,26549520.54,99.96,7044100.01,6487929.62,18054011.94,12140204.00,44639744.35,13739401.18,145563527.40,97.51,4556424.92,25677339.27,11961986.58,3045671.56,11980927.92,8835806.98,28610333.31,91.53,38543008.96,85.99,71679657.39,93.32,117965581.34,91.92,6952212.86,8578653.44,9717802.89,9053715.06,33676759.50,17350606.74,141680756.07,90.47,3182866.21,27512697.69,6702432.46,4978490.12,17033070.03,9875651.77
2011Jan,142284063.75,94.70,125865243.67,79.80,19979483.42,96.24,30357089.29,93.04,92519493.68,98.99,92026737.91,95.22,26389454.79,102.14,7189623.88,6488049.47,17688905.71,12147091.44,44024204.10,13919667.14,145366400.32,97.58,4596591.52,24913306.05,12107444.47,3122142.90,12134308.60,9342110.69,28709385.83,92.15,38565406.00,85.85,70845110.33,92.62,116153699.18,90.40,6408372.35,8189743.85,9249596.28,9720291.01,32649328.53,17743383.37,141267378.24,90.30,3109059.33,27185215.19,6378239.14,4725296.77,16884383.85,11489769.41
2010Dec,137224155.90,94.90,135705219.15,87.80,18994098.03,92.67,29498308.29,93.64,87622986.29,98.26,87866862.08,93.81,23806957.59,99.40,6570522.36,5942893.94,18006307.33,11240995.22,42574298.33,12703629.18,137423201.03,95.91,4142996.84,24267796.10,11057391.01,2747418.11,11581774.92,8957004.45,26716339.54,86.44,36728528.23,83.65,66666434.84,89.01,108689616.03,86.12,6052848.17,8446464.48,8376375.65,8750562.29,30276146.34,16730885.84,133001064.72,86.81,2871843.41,26714307.57,5808386.61,4415913.30,15147688.96,10677767.24
2010Nov,144390573.00,102.40,141900813.78,93.10,20406047.53,102.79,30484523.65,96.77,86234823.64,99.97,91137017.21,98.31,23229793.77,104.79,6835147.49,6093564.40,18223721.97,11531152.50,43913102.80,13101554.60,139070258.58,99.55,4576736.87,23942161.71,10516463.27,2719896.13,11929311.48,8489155.07,27480920.64,90.47,36650429.85,84.94,68284884.05,92.34,111943168.05,89.70,6696818.19,8111496.66,8586753.35,9246320.26,31538684.76,17243352.57,135597963.59,89.69,2985997.62,26376020.16,6284935.83,4460818.33,15651720.32,10075993.10
2010Oct,137557000.67,97.70,140726054.93,92.50,19482561.58,96.17,29935795.85,94.69,82655555.11,96.40,89333545.74,95.48,20591923.52,94.93,6853667.26,6127156.44,18688894.12,9325861.71,42283291.68,12975918.33,134365506.62,96.29,4329495.22,24170277.56,10369299.23,2705777.55,11392435.41,8050562.63,28671469.97,94.49,36854142.86,85.12,67527753.22,91.62,113353514.52,90.94,6484834.73,8270516.83,8326392.28,9305365.85,31475402.48,16873179.93,136024394.63,90.08,3101952.68,26083804.26,6351352.30,4579729.43,16242500.88,10198809.74
2010Sep,138013571.61,97.70,138744332.23,90.80,19126796.41,92.56,29895739.04,94.01,82239501.70,96.11,88767000.68,93.92,19834326.22,91.81,6458388.80,6140555.79,18876600.67,9804364.91,43256109.26,12278637.76,133486643.22,95.35,4409270.14,23577120.50,9972418.01,2653205.00,11484869.96,8038590.11,27290957.51,89.42,36315818.60,83.00,66462778.87,89.88,110163806.92,87.68,6398745.83,7849550.85,8114605.52,9018751.75,31301131.95,16899675.24,133076553.56,87.63,2926520.27,25612894.75,5866450.10,4394412.80,16049473.19,9625777.40
2010Aug,127331594.83,89.60,121634079.62,79.70,19874322.22,97.19,30087882.45,94.95,82432081.28,95.19,88749478.55,94.64,20837118.74,96.14,6246771.47,5869582.30,18711760.40,10217497.49,44265525.48,12946816.92,134284485.75,95.31,4294755.89,23417640.00,10090099.57,2580109.07,10904935.70,7879389.95,27040746.25,88.50,35641093.27,82.70,66491629.13,89.63,108821339.98,86.91,6316827.21,7832206.56,7813465.06,9182023.38,30321471.18,16703350.56,132479095.33,87.53,2940420.05,25062501.73,6280893.90,4003138.87,15853048.00,11042108.16
2010Jul,133598496.30,93.60,138806109.58,90.70,19904914.36,95.66,29823373.41,93.23,82098106.89,95.18,87902755.34,92.69,20884304.64,95.73,6329108.89,6191827.63,18515842.90,10019574.78,43316174.41,12747125.35,133857567.05,94.81,4397783.95,23006029.31,10269187.04,2571446.54,11712019.75,7747093.71,27067649.20,88.80,36125980.75,81.62,66423468.86,90.02,109752912.17,87.06,6414394.37,7953379.39,8141712.26,8942070.24,31670275.26,16678927.49,132419122.56,87.00,2945006.50,24747040.27,5780984.68,4223607.02,16216784.56,9750848.15
2010Jun,138092572.53,97.60,139240204.91,91.00,19587848.73,95.68,29262898.88,92.78,82056124.30,95.51,87517739.50,93.12,21094048.67,95.69,6331375.05,6699104.04,18381273.82,9836840.06,43043582.61,12518340.36,133118680.26,94.99,4421487.86,23128038.07,10114488.31,2597964.11,11438283.29,7337844.55,26378625.95,85.45,35107754.90,80.52,65781934.25,89.05,108072063.74,86.01,6539748.10,7818118.14,8060794.33,8813820.45,30905105.77,16268461.01,130244080.21,85.67,2989943.25,24593423.55,5485274.61,4070717.37,15671919.28,10046055.29
2010May,127485195.06,92.50,122660511.80,81.40,18583729.79,93.28,29737137.20,97.06,80169596.85,95.41,84330359.22,92.13,21716361.26,99.62,6008394.23,6780067.44,17675576.88,10043974.33,41499423.43,12312534.73,130652662.63,95.58,4347367.02,23086965.28,10501481.41,2580020.81,10465586.44,7317590.05,25514787.29,83.60,35166125.37,81.79,63579688.15,87.39,105043597.95,84.75,6234703.54,7665130.24,8123318.92,8440107.91,30273033.60,15917278.09,127568400.00,85.15,2964408.25,24234658.56,5327123.61,3719781.38,15408678.87,10399769.65
2010Apr,122516427.19,89.60,122108866.41,81.90,17413950.77,87.41,28413936.44,92.86,75864348.27,91.50,79844612.42,87.74,20461186.66,93.11,5653378.99,5980678.09,16277381.63,9891303.83,39005981.12,11980565.27,123383918.37,91.06,4046680.13,21355089.47,9341915.91,2512866.41,9909922.08,7879601.21,23996082.20,79.27,33384185.23,78.95,61969722.82,86.12,100559691.49,82.17,5617615.46,7385550.67,7508515.42,8443897.96,28255621.24,15836521.63,122288688.31,82.56,2825572.66,23498632.17,5186432.44,3756874.89,14086293.67,10303989.57
2010Mar,134017156.41,100.60,136144006.71,92.20,19030958.42,96.33,28611892.32,95.14,74634659.04,93.00,80644825.15,90.31,20993105.94,102.62,5868447.44,5842816.00,17627352.14,9398210.53,40507046.84,11961192.52,123319197.18,93.28,4229553.15,21483139.39,9248043.81,2489198.61,10176929.91,6282959.49,24874191.93,81.79,33761450.67,80.33,60510791.33,85.32,100495985.86,82.60,5825966.17,7174706.95,7550395.02,8620403.55,28381080.35,16048308.78,122583761.01,83.52,2675682.96,23475458.97,4995458.42,3575502.11,14854131.62,9736094.95
2010Feb,108696155.76,83.30,110675571.91,75.20,16080131.41,83.52,26746355.75,89.72,69105596.72,88.37,75057530.53,85.17,19036616.70,98.76,5237402.10,5492159.38,14314043.67,8813925.30,35080500.32,11723821.72,114125968.75,88.32,3785542.81,20450792.40,8429183.36,2434974.15,9417916.81,6981218.32,22550211.16,74.58,32284136.21,76.91,57887639.21,81.99,96124505.39,78.91,5814517.74,7078663.97,7380323.96,8462957.82,27514131.60,15055733.51,116142669.56,79.41,2724647.28,22175923.16,4693418.18,3552984.10,13285639.09,8467088.43
2010Jan,109131123.55,84.30,98311644.05,67.40,16243143.98,83.95,27500413.26,91.90,68759194.11,89.10,75627718.65,85.72,18840339.31,97.47,5295876.99,5526768.58,13944775.68,8795590.68,34776142.08,11639027.74,114789335.77,89.36,3996583.22,20403545.79,9195663.53,2423582.45,9947016.60,6631579.02,21867550.40,72.49,31634837.93,76.94,57229207.18,81.70,94405769.12,78.23,5091292.22,7031830.56,6949748.33,7979599.40,26494335.57,15472086.07,112880219.34,77.99,2677565.30,21868630.76,4483612.96,3344929.30,13369555.14,7647292.32
2009Dec,109469109.40,86.60,111921095.53,77.40,16881980.52,89.24,26423995.30,90.93,66090326.58,87.79,73968820.68,85.91,17767998.76,96.97,5195750.43,5694272.86,13424679.25,8289807.31,33306741.02,11221840.59,110864634.58,88.57,3793409.79,20318297.00,8581792.83,2274087.75,10114508.26,5785898.52,22365236.57,74.23,31108668.90,76.04,56822059.44,82.53,93920045.49,78.57,4988321.17,6786347.42,6352985.69,7864814.76,25885038.17,15354361.31,113142408.47,79.01,2566427.75,21467847.42,4733888.62,3240605.96,12663027.82,10096046.07
2009Nov,111978275.63,89.90,113945619.41,79.50,15960743.85,85.45,26359470.27,91.06,65029316.35,87.98,71965803.36,84.21,18073431.22,98.07,5315621.07,5132078.00,13236579.32,8494853.84,32350881.31,10640611.98,109139416.61,88.46,3734128.42,19746034.94,8832494.07,2314232.38,9355478.53,6984949.20,20948578.55,70.27,31914541.66,79.49,54925498.25,79.87,91606736.65,77.18,4917753.85,6867641.87,6374363.21,7755355.39,24582609.89,14838991.04,110636470.04,77.90,2330320.04,21453111.86,4496072.38,3182527.76,13005964.69,9686729.32
2009Oct,112547757.29,91.20,116359302.00,81.20,15647897.09,84.20,26175134.33,91.01,63422234.50,87.02,71181581.59,83.71,16468907.36,95.48,4737997.10,5270805.79,12926318.29,7498570.03,31744026.86,11254350.09,107168832.71,87.72,3750811.96,19858835.96,8353308.28,2319374.88,8992457.80,7211626.82,22171241.86,74.19,29562938.61,72.71,53762872.60,78.72,90785946.74,76.49,4653313.97,6275636.40,6009540.59,7573001.56,24352863.89,15270762.24,108212446.08,76.20,2372779.62,21244224.02,4287769.16,3057026.83,13028500.57,8301938.46
2009Sep,112662301.24,89.80,113207149.33,78.60,16508673.69,87.15,26486108.83,89.64,62989111.42,85.12,72206662.30,83.35,16484040.97,93.19,4971937.52,5445988.98,13170999.36,7649522.88,32210501.17,11074105.73,108100388.77,86.88,3886990.05,19713034.50,8890920.08,2312392.48,9144798.92,6670980.05,21882481.62,72.63,29945536.54,73.65,54064989.95,78.71,90240649.34,75.58,4943574.94,6433638.29,5970993.12,7756752.80,24003039.58,15188271.29,108450578.31,76.00,2342227.76,21423055.24,4247277.93,3238401.16,12386311.09,8765307.22
2009Aug,96111925.24,75.60,93485222.90,64.90,15685808.12,83.33,26148032.27,88.60,61407356.65,81.48,69048205.46,79.70,16225549.08,91.54,4927326.29,5287267.27,12674991.43,7662550.97,31221432.68,10683691.00,105000276.91,83.49,3688398.83,19481285.59,7603714.70,2246996.91,8966235.75,7022143.63,20950269.12,69.45,29852600.52,73.06,51859161.44,75.76,86981960.66,72.85,4589046.59,6481716.50,6065417.66,7580952.76,23726540.08,14576849.94,105540043.73,73.96,2255788.52,20582298.16,3976203.59,3231517.21,11748042.33,9048258.51
2009Jul,106151279.29,84.70,118266840.80,81.90,15474402.62,80.77,26310957.75,88.15,59782136.45,82.12,68108465.01,77.66,15521352.10,91.87,4926390.19,5372783.64,12438519.60,7758695.50,30802542.40,10496955.97,103352678.50,83.37,3495317.89,19022581.18,7339492.29,2250001.80,9159692.29,6346998.36,22652471.31,74.92,29987132.73,72.40,53857294.71,78.58,90785891.05,75.41,5008355.60,6713119.57,5929555.83,7881163.28,25210797.23,14915759.15,108759286.34,75.86,2517489.94,20481393.01,4306344.36,3206122.10,12734338.84,8239337.49
2009Jun,104681734.94,82.90,109835592.61,76.40,15865595.19,81.39,26562595.19,89.67,58462359.34,79.28,69265200.64,78.89,15326506.74,90.90,5059183.69,5067557.66,13026518.77,7918946.58,31171724.29,10944250.10,102757095.09,82.29,3612737.67,18563397.96,7052291.18,2236522.39,9580033.59,5025316.33,21389575.57,70.91,29117815.39,71.26,52207034.43,76.35,87328651.45,72.97,4034446.64,6521675.73,5899084.01,7869808.05,24133011.47,14755319.30,106028987.89,74.30,2468854.02,20080238.89,4315310.69,2902091.30,13232548.00,8102831.36
2009May,98745938.83,79.70,100158406.96,69.70,16025332.73,81.71,25810947.86,86.91,58058531.31,81.48,67266666.57,76.33,14945465.04,100.53,4717843.73,5329802.98,12547813.19,7590241.15,30523465.99,10182300.90,101950639.62,83.24,3394369.21,18181868.79,6517984.52,2125111.15,10143022.29,6687365.38,21762688.32,72.57,28817878.15,70.26,51059272.06,74.94,85770562.62,71.58,4206808.17,6406518.93,5760539.56,7650681.66,23870224.66,14153973.17,103655208.87,72.81,2304182.00,19646577.87,4019171.25,2928255.86,12563207.31,8304860.50
2009Apr,102238543.03,82.80,103765951.77,72.50,16069505.91,82.44,26492308.11,90.00,58757659.31,82.36,68231940.04,77.52,13858993.37,100.62,4737109.11,5731866.30,13429554.55,7659476.62,31676494.81,10282559.34,102797209.25,84.14,3481164.02,18415364.18,6230548.05,2092570.17,9608140.64,6457448.32,21555168.30,72.05,28115436.21,69.58,51572105.62,75.51,86367080.15,72.42,4087717.37,6326689.96,5662712.76,7470869.55,23457198.96,14248693.52,103996795.14,73.31,2290461.93,20216683.56,4232362.99,2708514.83,12839352.28,8427235.60
2009Mar,110435114.09,87.80,111002641.11,76.60,16242478.82,81.04,25920423.51,85.55,60677439.74,84.05,69078649.22,76.54,13660727.06,104.67,4866224.31,5565565.60,13106671.26,7338666.47,31292698.88,10226428.49,104745446.50,84.09,3524250.92,18667451.21,6450359.12,2179892.09,11076206.65,7005862.13,21914462.54,72.39,28355720.12,69.39,50662400.36,73.33,86228166.58,71.20,4225423.75,6503990.13,5288062.60,7893464.00,22546946.76,14195565.49,103999943.19,72.45,2288127.15,20166405.44,4391955.81,2501012.57,13106596.37,8647783.46
2009Feb,103202424.33,82.50,100541366.07,68.70,17050839.54,86.94,27142518.39,89.14,62113850.43,86.24,72180179.19,80.07,13459765.82,106.89,5201332.61,5674515.62,14005560.57,8608784.67,32511719.79,10768710.55,108415749.17,87.35,3782725.37,18611348.03,6247181.40,2205713.31,11039945.08,7515544.00,22909398.59,75.59,29142282.83,70.10,50650792.10,72.72,88433195.29,72.51,4389579.20,6808633.05,5171872.72,7996468.52,23121512.07,14191301.02,105317111.68,72.68,2518953.18,20346291.56,4645629.87,2561106.55,13341978.03,7883912.69
2009Jan,107188777.37,85.90,94154728.50,65.00,16335149.26,83.39,27354820.14,89.39,64180242.25,89.64,73608957.52,81.56,12831505.05,108.27,5042845.96,5844698.51,14723042.72,8249758.93,34051212.62,11059540.79,109853705.02,88.83,4201167.95,18529806.62,6931691.96,2128459.49,10337303.97,7634345.95,22822415.87,75.75,29082656.06,72.43,49805694.64,71.51,87597577.26,72.42,4473517.37,6921267.56,4623919.98,7489023.93,21592141.75,14487099.47,104627653.65,72.97,2459982.92,20966084.99,4669246.89,2488139.79,13070315.04,8318003.01
2008Dec,115990149.57,88.90,113307701.62,76.60,18785848.20,93.28,27346502.60,89.59,70659325.70,92.80,79161954.43,85.98,15795533.28,117.23,6294343.88,5781209.27,15504799.87,9611477.20,37122588.88,11175751.87,118854917.42,92.31,4374893.61,19407157.78,7929826.28,2137714.40,11751383.54,7520336.58,26505759.52,86.75,31122528.40,75.88,55304501.42,77.72,98376313.82,80.20,5881481.75,6947282.77,5007028.15,8497394.05,24108296.55,15151426.44,116512977.58,79.75,2707619.60,22426737.92,5967465.06,2621065.05,14410269.01,10525101.65
2008Nov,129016643.61,94.70,121388240.09,81.90,19032250.24,96.93,28099634.31,92.28,78850512.38,95.79,83476208.76,90.77,18911736.59,108.98,6811208.58,6026819.77,16341817.67,10513471.49,39000213.48,12176812.91,128888418.65,96.08,4513045.87,21561780.13,9038225.92,2538667.62,11330218.97,9787403.11,26889078.25,89.24,32824147.11,79.64,58533670.75,81.44,101463227.98,83.30,5456825.15,7175290.61,5343661.72,8292426.67,25168775.40,16515114.53,121250085.54,82.71,2765495.60,24521649.46,6035957.91,2724049.39,15482169.32,9909709.05
2008Oct,143726489.71,104.00,141725047.42,95.30,18903390.54,99.29,27876717.26,93.39,84667716.41,98.65,84705204.64,94.07,22735151.05,104.55,6673336.10,6031249.81,16355185.94,10852773.28,40463990.97,13733107.70,133390774.59,97.69,4612994.15,22441031.21,10082509.10,2514519.43,10978090.96,9843025.92,28011980.85,93.63,33660683.82,81.27,63694178.66,88.13,106948725.30,88.21,6282906.15,7278372.52,5466431.17,8596662.15,25523817.47,17690875.15,128776061.51,87.54,2653909.08,26373982.35,6998245.60,3380405.12,15100644.03,11304841.30
2008Sep,144806186.80,101.50,138111978.89,92.70,19279671.98,101.27,28345274.84,94.84,89361090.12,99.35,87248033.63,96.78,25670582.15,100.38,7175394.46,5899896.87,16126666.33,12360821.28,40720831.72,13919051.87,139225877.65,98.92,4667827.29,23001331.89,11743862.91,2785365.08,11576789.45,10112486.97,28697333.72,96.83,34766440.25,83.22,66145479.04,91.12,109390051.73,90.65,6044068.87,7196935.37,5294921.78,8779439.56,25567315.03,18212874.84,132775915.96,90.05,2599588.14,27684942.03,7324419.30,3683311.28,16031571.84,12337828.49
2008Aug,128532142.32,89.00,117227097.36,79.00,19422643.44,104.92,27829788.08,94.18,92154022.33,99.79,87816364.57,98.93,28529260.77,102.32,7276932.17,5817536.06,16157662.27,13388672.47,41684308.17,14160548.66,142287826.99,100.04,4820916.60,23354013.12,12177619.41,2779725.92,11403596.61,10051335.69,27944384.81,94.29,34489070.59,83.47,67885111.61,94.03,110639976.15,92.45,6106289.05,7323783.18,5301277.99,9359615.54,26208041.04,18802341.58,133689652.06,91.19,2776968.42,27690724.33,7222761.09,3665951.66,15853177.08,11172878.33
2008Jul,148553351.22,102.20,143492634.41,96.40,19768310.06,105.29,28151979.55,95.27,92999578.96,99.97,88025568.60,99.29,30149782.01,99.45,6689975.87,5956854.48,16029254.58,12929621.00,42086472.66,14282329.09,143498857.71,100.15,4704694.11,23526083.46,13131802.42,2811348.30,12378612.85,9706022.80,27991069.19,93.89,34153166.88,82.15,67364065.76,92.90,109150330.21,90.88,5674868.41,7174006.61,5636075.90,9009706.72,26242274.47,19279340.87,132506500.17,89.97,2793956.35,28037052.56,7169567.74,3837487.15,15103663.59,10907526.28
2008Jun,140050800.50,98.70,136710363.82,92.70,18788628.83,99.82,27954841.35,96.07,90680055.15,100.72,85345295.16,97.44,28714920.89,99.52,6694044.03,6004189.88,14860657.18,12936384.68,40443192.36,14187867.62,139321887.40,99.52,4781041.30,23095885.96,11888110.70,2841905.67,11561919.35,9764071.87,27737412.55,93.48,34713562.33,83.50,66818367.16,93.69,108840906.32,91.38,5747433.87,7429838.31,5581541.03,8357493.35,25643213.12,19070932.69,132037947.96,90.38,2706734.12,27945833.19,6892658.30,3720859.60,15892961.15,11506497.59
2008May,135155067.21,98.10,128274399.46,87.90,19334564.81,104.17,28065851.72,97.71,86869513.17,100.31,85617075.68,98.95,26323461.07,99.37,7086265.62,5825415.08,14962871.58,12297539.07,40195709.31,13703826.38,136612462.47,100.60,4853900.59,23120153.13,11105008.47,2879925.45,11190682.66,9169446.23,27560177.07,93.66,34017207.89,83.25,65339700.49,92.44,108053585.47,91.59,5464699.03,7275860.64,5462650.61,8007637.86,25653946.91,19043937.39,130383627.09,90.30,2916206.27,27833862.39,6999082.29,3775682.33,15149361.21,11057602.53
2008Apr,140114517.45,103.50,139787592.96,95.90,19330094.06,102.96,27725165.09,95.78,85819433.38,102.55,85338170.21,98.38,25237364.83,104.61,6576526.20,5796682.69,14696339.80,11944253.53,39066331.63,14508063.69,134098063.24,100.52,4924671.59,23294748.93,10932811.26,2839715.67,11079718.89,7978534.70,27273303.59,92.25,35498985.07,86.23,66341731.44,94.50,111039046.40,93.67,5497250.34,7614497.78,5578921.00,8236882.76,26631505.82,19400929.29,132880360.22,92.13,2913558.73,28089014.62,7103642.51,3736754.63,15973876.51,10697701.50
2008Mar,132513857.36,97.40,129734203.40,88.70,19682628.65,103.13,27853948.40,95.48,85550627.27,102.02,87136510.69,99.36,25490563.82,106.91,6670315.85,5754759.24,14381300.66,11529993.49,41152766.78,14233449.25,135395115.76,101.04,5071180.71,22767843.16,10903315.05,2806788.88,11723313.60,7682181.50,28523522.08,96.13,35125956.79,85.12,64775343.55,92.16,109681801.32,92.19,5473409.75,7144112.86,5556668.45,7828555.84,26324995.86,19087387.19,131735038.01,91.13,2758244.66,27833982.23,7070257.14,3863378.17,15643106.48,11311615.73
2008Feb,131743665.60,97.90,131109737.57,89.50,19801241.18,103.62,28432420.05,96.71,84478069.00,102.31,86880263.09,98.83,24775189.83,108.82,6577665.24,5758008.58,14662957.93,11147295.52,39256368.44,14599624.12,134734283.60,101.34,5072568.38,23045761.34,10743903.19,2744986.32,11236646.56,9535020.28,28576566.54,96.65,36249025.36,87.09,66167339.11,93.93,111535608.80,93.30,5275791.77,7012366.09,5413212.70,8130084.18,26475970.87,19183122.61,134748294.38,92.88,3004377.08,28148118.03,6970523.26,4014271.40,16834123.83,12886646.30
2008Jan,139081287.71,103.60,125527476.64,86.30,20327088.13,106.24,28787539.45,96.81,86588048.63,105.74,87692671.25,99.75,25970970.99,114.42,7068119.02,5491393.48,15037949.14,11658439.50,40414203.13,15078760.14,137710617.02,103.81,4905602.39,23340361.36,10853746.82,2843568.18,11723804.82,9412032.92,28807677.43,96.74,36019181.06,87.17,66338067.89,94.92,112349891.32,94.43,5442583.61,7095395.98,5886091.58,7915244.81,27584502.50,19698088.38,133938007.61,92.87,3036960.40,27683676.87,6831009.51,4089691.89,16689713.33,10915118.89
2007Dec,123107920.99,92.70,116819508.94,80.90,19240107.10,100.93,27926330.25,95.24,85261362.76,105.34,86723236.58,99.49,25386221.00,113.97,6731981.43,5643933.26,14675567.27,11540380.58,39791917.51,14378033.07,134122280.63,102.26,5016613.23,21940867.61,10752760.20,2865076.66,10902343.43,9585620.58,27172404.55,90.93,34557930.58,84.68,63854180.91,92.10,108048678.88,91.25,5200543.72,6910981.28,5589037.55,7684881.98,25457584.43,19447457.95,128372058.53,89.64,2759599.12,26522792.44,6288966.43,3698279.06,15730678.93,11518558.81
2007Nov,136124788.75,103.00,136379062.00,94.50,19198640.85,100.72,28129636.72,96.80,80982503.83,100.58,85574137.51,98.29,22722993.84,102.18,6883337.35,5518182.12,14691264.57,9986334.79,38092353.44,14472648.24,130231518.07,99.75,4681632.81,22249367.58,10209393.61,2773627.25,10867894.61,9212610.94,27701723.19,93.69,34224472.65,83.65,64143991.38,92.52,109524681.89,92.61,5338580.33,7248146.87,5091640.65,7482058.79,25677792.42,19695036.95,129727336.95,90.69,2669808.32,26679241.64,6382518.11,3745730.90,15925969.74,11599445.21
2007Oct,138386898.69,106.70,140717826.48,97.80,19842968.21,104.62,28035471.79,95.98,78502092.92,99.95,86485061.37,98.98,19816737.03,97.71,6617373.59,5714710.48,15043483.54,9769425.23,38754008.64,14409669.04,128238444.56,99.83,5106055.08,22063956.29,9657562.33,2722716.60,10946791.69,7663340.65,27241130.38,92.58,34360314.91,83.88,63881018.34,92.57,108929670.75,92.00,5233897.91,6769334.32,5307640.61,7371180.69,25364771.33,19641308.46,128671823.41,90.17,2692971.55,26476314.43,6378623.53,3641907.90,16470845.39,11319578.13
